,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
NO.45,1.4,3.1,3.9,4.7,5.9,7.4,8.8,11.1,12.3,12.7,13.6,14.2,14.3,14.7,15.1,15.6,15.9,16.4,16.7,16.9,17,17.2,17.3,17.4
NO.6586,3.1,5.7,10,14.8,19.6,23.2,25.7,26.5,27.1,27.5,27.8,28.1,28.4,29,29.9,30.4,31.3,33.7,35.6,36.5,37.4,38.5,40.3,41.3
NO.6592,6.4,8,10.1,11.1,12,13,15.3,17.5,19.2,20.2,20.5,21.3,21.9,22.8,24,25.6,26.8,27.7,28,28.4,28.7,29.4,30.3,31.2
NO.6593,4.7,8.1,12.4,17.2,21.2,24.3,25.5,26.5,27.3,27.9,28.2,28.5,28.8,29.2,29.8,30.5,31.3,32.8,33.8,34.6,35,35.7,37.1,37.9
NO.6596,2.6,4.5,11.8,15.1,17.5,21,23,23.7,25.4,26.1,26.9,27.3,27.6,28.3,28.3,28.7,29,30.5,32.5,34,35.3,36.8,39,40
NO.6598,2.6,5,7.8,11.2,15,18.2,20.4,22.1,22.8,23.1,23.5,23.9,24.6,25.1,25.8,26.1,26.6,27.6,28.8,29.5,30,30.9,32.2,32.9
NO.6600,3,5.6,11.6,15.2,18.8,21.4,22.4,23.4,24.8,25.8,26.6,27,27.4,28,28.4,28.8,29.2,29.6,30.2,30.4,31.2,31.4,32,32.6
NO.6605,2.9,5,6.6,9.4,11.4,13.3,17.4,19.2,20.8,23.5,24.5,25.6,26.1,26.7,27.1,27.5,28.1,28.9,29.9,30.8,31.4,31.8,33.1,34
NO.6607,3.1,5.3,8.7,12.9,17.4,19.3,21,23.6,25.2,25.9,26.1,26.4,26.6,26.9,27.3,27.7,28,29,30.4,31.4,32,32.8,33.6,34.3
NO.6608,2,4.8,6.8,9.8,13.5,17.3,19.9,21.6,22.2,22.8,23.3,23.6,23.9,24.3,24.8,25.4,25.9,27.6,29.1,30,30.3,30.9,31.6,32.1
