"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"NO.45","1.4","1.7","0.8","0.8","1.2","1.5","1.4","2.3","1.2","0.4","0.9","0.6","0.1","0.4","0.4","0.5","0.3","0.5","0.3","0.2","0.1","0.2","0.1","0.1"
"NO.6586","3.1","2.6","4.3","4.8","4.8","3.6","2.5","0.8","0.6","0.4","0.3","0.3","0.3","0.6","0.9","0.5","0.9","2.4","1.9","0.9","0.9","1.1","1.8","1"
"NO.6592","6.4","1.6","2.1","1","0.9","1","2.3","2.3","1.7","0.9","0.4","0.8","0.6","0.9","1.3","1.6","1.2","0.9","0.3","0.4","0.3","0.7","0.9","0.9"
"NO.6593","4.7","3.4","4.3","4.9","4","3.1","1.2","1.1","0.8","0.6","0.3","0.3","0.3","0.3","0.6","0.7","0.9","1.5","1","0.8","0.4","0.6","1.4","0.9"
"NO.6596","2.6","1.9","7.3","3.4","2.4","3.5","2","0.8","1.7","0.7","0.8","0.4","0.3","0.7","0.1","0.3","0.3","1.5","2","1.5","1.3","1.5","2.2","1.1"
"NO.6598","2.6","2.4","2.8","3.4","3.8","3.2","2.2","1.7","0.7","0.3","0.4","0.4","0.7","0.5","0.7","0.3","0.5","1","1.2","0.7","0.5","0.9","1.3","0.7"
"NO.6600","3","2.6","6","3.6","3.6","2.6","1","1","1.4","1","0.8","0.4","0.4","0.6","0.4","0.4","0.4","0.4","0.6","0.2","0.8","0.2","0.6","0.6"
"NO.6605","2.9","2.1","1.6","2.8","2","1.9","4.1","1.8","1.6","2.7","1","1.1","0.5","0.6","0.4","0.4","0.6","0.8","1","0.9","0.6","0.4","1.3","0.9"
"NO.6607","3.1","2.2","3.4","4.2","4.5","1.9","1.7","2.6","1.6","0.7","0.2","0.3","0.2","0.3","0.4","0.4","0.3","1","1.4","1","0.6","0.8","0.8","0.7"
"NO.6608","2","2.8","2","3","3.7","3.8","2.6","1.7","0.6","0.6","0.5","0.3","0.3","0.4","0.5","0.6","0.5","1.7","1.5","0.9","0.3","0.6","0.7","0.5"
"NO.6609","2.3","2","2","2.5","3.4","3.4","2.4","2","0.6","0.3","0.3","0.1","0.4","0.3","0.9","0.5","0.4","0.5","0.5","0.6","0.2","0.4","0.4","0.5"
"NO.6611","7.5","3.5","5.5","1.9","7.2","2","2.9","1.6","1.3","0.8","0.1","0.4","0.2","0.3","0.3","0.1","0.2","0.3","0.4","0.4","0.2","0.1","0.3","0.2"
"NO.6612","3.2","3.1","2.8","4.1","4.8","4.6","3.4","2.6","0.5","0.6","0.6","0.5","0.7","0.7","0.4","0.5","0.6","0.8","0.9","0.9","0.4","0.7","1","0.5"
"NO.6613","1.9","1.6","3.3","4.5","4.8","4","3.2","2.2","0.4","0.5","0.2","0.3","0.4","0.5","0.4","0.2","0.5","0.8","0.9","0.7","0.3","0.5","0.8","0.2"
"NO.6614","2.2","2.6","2.7","2.8","4","5.1","1.5","1.7","1.1","0.9","0.7","0.6","0.3","0.9","0.4","1","0.3","1.1","0.7","0.7","0.5","0.8","0.9","0.6"
"NO.6617","2.8","1.1","1","1.9","1.5","1.7","2","1.1","3","1.4","0.8","0.3","0.3","0.4","0.6","0.5","0.4","0.3","0.7","0.9","0.4","0.6","0.8","0.6"
"NO.6618","3.2","1.6","2.7","4.3","4.4","3.6","2.3","1.1","0.6","0.5","0.3","0.3","0.3","0.3","0.6","0.5","0.4","0.8","0.6","0.7","0.4","0.6","0.7","0.5"
"NO.6619","2.3","2.1","1.8","3.1","4","3.6","2.5","1.7","0.4","0.5","0.1","0.2","0.2","0.4","0.3","0.2","0.2","0.4","0.4","0.4","0.2","0.3","0.3","0.4"
"NO.6620","3.2","2.5","2.4","3.7","3.9","3.7","3","2.6","1.1","1.1","0.6","0.5","0.2","1.3","0.9","0.6","0.8","1.8","1.5","0.7","0.5","0.8","1.1","0.7"
"NO.6621","3","2.8","2.5","3.9","4.2","3.8","3.1","2.5","0.8","0.7","0.5","0.4","0.3","0.4","0.6","0.4","0.6","1.2","1.3","1","0.6","0.5","1","0.5"
"NO.6622","3.7","1.8","3.2","1.7","1.5","3.2","2.7","2","0.8","0.3","0.3","0.2","0","0.4","0.7","0.2","0.2","0.6","0.6","0.5","0.3","0.3","0.2","0.5"
"NO.6623","3.3","2.4","1.8","3.3","4.4","4.4","3.3","2.5","1","0.5","0.4","0.4","0.5","0.8","0.9","1","1.5","1.5","0.8","0.9","0.6","0.7","0.8","0.5"
"NO.6625","1.9","2.9","4.1","4.3","3.4","2.9","2.3","1.1","1","0.5","0.3","0.4","0.2","0.4","0.5","0.4","0.7","1.2","1.2","1","0.4","1","1.2","0.7"
"NO.6627","2","1.3","1","2.5","2.7","2","1.5","2","0.8","0.2","0.6","0.3","0.2","0.8","0.6","1.1","0.6","1.2","0.9","1.1","0.5","0.9","1.1","0.6"
"NO.6629","2.7","2.1","3","1.7","2.1","3.3","2.4","1.9","0.5","0.5","0.3","0.3","0.4","0.7","0.7","0.2","0.3","0.8","0.4","0.3","0.3","0.2","0.3","0.2"
"NO.6630","3.7","2.3","3.8","4.6","2.8","1.2","2.1","2","1","0.8","0.4","0.5","0.4","0.4","0.6","0.7","0.8","1.3","1.4","1.4","0.9","1","1.7","0.9"
"NO.6631","3.4","2.1","2.1","2.8","3.9","3.7","3.3","3.1","1","0.9","0.3","0.8","0.4","1","0.9","0.5","0.7","1.5","0.9","0.9","0.4","0.8","0.9","0.5"
"NO.6634","7.8","9.4","4","2.1","0.4","0.4","0.4","0.2","0.3","0.3","0.3","0.4","0.3","0.3","0.5","0.6","0.6","0.7","0.7","0.8","0.5","0.8","0.8","0.5"
"NO.6636","1.9","1","0.5","3.6","4.1","3.3","1.2","0.8","0.4","0.9","0.4","1.7","0.9","1.2","1.3","0.6","1","2.1","1.7","1.2","0.7","0.9","1.6","1.2"
"NO.6638","4.6","1.1","0.9","2.1","3.9","3.7","3.4","2.5","0.8","0.9","0.5","0.5","0.6","0.4","0.6","0.4","1.7","1.7","1.5","1.2","0.8","1","1.5","0.7"
"NO.6640","2.6","1","1.2","2.5","3.9","4","3.3","3.2","1.4","0.9","0.6","0.5","0.3","0.4","0.8","1.1","0.5","1.1","1.2","1.1","0.7","1.1","1.4","1"
"NO.6644","2.1","1.4","1.1","2.1","2.8","2.8","2.9","1.9","0.7","0.4","0.4","0.6","0.9","0.8","0.4","0.3","0.5","0.8","1.4","1.1","0.6","0.6","1","0.5"
"NO.6645","3.1","1.6","1.4","2.8","2.7","3.5","1.5","1.5","0.9","0.4","0.6","0.9","1.1","0.4","0.6","1.2","1.1","0.6","1.6","0.8","1","0.5","0.6","1.1"
"NO.6647","2.5","2.9","1.3","2.3","1.3","3.2","3.4","3.2","0.8","0.7","0.3","0.4","0.4","0.9","0.4","1.4","0.9","1.4","1.3","1.3","0.8","1.3","1.3","1"
"NO.6648","2.7","1.8","2.5","1.8","1.2","3.3","1.4","1.2","1.5","2","0.7","0.3","0.2","0.2","0.5","0.3","0.7","1.1","1.3","1.1","0.8","1.1","1.2","0.6"
"NO.6652","1.1","2","2.7","2.1","1.1","1.8","1.2","1.6","1","0.2","0.4","0.3","0.3","0.8","1","0.5","0.8","1.2","1.1","1.1","0.5","0.6","0.7","0.5"
"NO.6653","4.3","1.9","3","4.8","4.2","3.9","3.6","1.1","0.9","0.3","0.4","0.9","0.9","1.3","0.8","1.2","0.9","2.1","2","1.6","0.9","1.1","1","0.6"
"NO.6654","1.4","1.6","2.3","2.7","3","0.9","1.9","1.1","0.6","0.2","0.2","0.4","0.3","0.2","0.7","0.4","0.5","0.9","0.8","1","0.7","0.6","0.7","0.5"
"NO.6655","2.8","1.5","2.2","2.3","2.7","2.6","3","1.5","1.7","0.8","0.7","0.6","0.5","0.9","1","0.3","0.7","1.7","1.4","1","0.7","0.8","1.1","1"
"NO.6657","2","2.5","2.9","2.7","3.6","3.6","1.3","1","0.4","0.5","0.6","0.7","0.7","0.6","1.2","0.7","1.3","1.5","1.2","1.6","0.8","1","1.1","0.7"
"NO.6659","2.1","1.1","2.1","2","3","2.6","1.3","0.9","0.4","0.2","0.4","0.2","1.1","0.6","0.8","1.3","0.8","1.2","1.4","0.9","0.5","0.6","0.9","0.8"
"NO.6663","2.8","3.7","4.1","3.1","3.1","2.6","0.5","0.6","0.4","0.6","0.6","0.6","0.5","1.4","1.1","0.4","0.7","1.5","1.3","1.2","0.6","0.6","0.8","0.6"
"NO.6665","4.65","2.2","3.15","3.65","1.25","1.05","1.9","1.1","0.65","0.95","1.4","1.3","0.6","1.1","0.7","1.2","1.95","1.8","1.2","1","0.3","0.35","1.9","0.9"
"NO.6666","1.8","0.8","1.4","2.1","2.7","3.1","3","1","1.3","0.8","0.7","0.6","0.4","1","1.2","0.7","1","1.8","1.2","1","0.6","0.7","1.3","0.4"
"NO.6671","2.5","1.8","1","3","2.8","3.4","3.2","2.3","0.9","1.2","0.5","0.5","0.6","0.5","0.5","1.3","1","1.9","1.5","1.7","0.4","1.7","1.3","0.6"
"NO.6672","2","1.5","1.3","2.2","2.6","3","2","0.8","0.5","0.4","0.7","0.4","0.5","0.5","1.1","0.2","0.7","1.1","1.1","1.2","0.5","0.7","0.9","0.5"
"NO.6673","2.5","1.8","1.7","2.2","3.6","3.2","2.9","2.5","0.9","0.6","1","0.8","0.7","0.9","1","0.3","0.7","1.3","1","1.2","0.8","1","1.4","1.1"
"NO.6674","2.4","0.8","2.5","3.2","1.7","4.1","3.5","1.4","1.1","1","0.9","0.6","0.4","1.5","0.6","1.1","0.8","1.5","1.6","1","0.6","0.7","0.9","0.5"
"NO.6676","5","2.5","4.1","3.3","2.2","1.2","1.7","1.3","2.5","0.8","1","0.3","0.5","1.1","1.3","0.4","0.7","1.2","1.1","0.9","0.6","0.6","0.6","0.6"
"NO.6677","1.3","0.7","0.5","1.1","2.2","2.9","1.9","1.7","1.6","0.6","0.5","0.1","0.3","0.2","0.1","0.5","0.9","0.7","0.7","0.8","0.3","0.5","0.4","0.3"
